153326.951-0.0083-611623.71-0.029 7.0A2 
164557.043+0.0040-674501.35-0.026 7.0A2 
172447.957-0.0025-543343.45-0.031 7.0A2 
184957.353-0.0005-520719.47-0.023 7.0A2 
195002.953-0.0008-591549.63-0.012 7.0A2 
201010.058+0.0009-633722.46-0.035 7.0A2 
033438.563+0.0078-623325.13+0.036 7.0A2 
041905.298-0.0165-793113.45+0.034 7.0A2 
043434.706+0.0043-724400.67+0.057 7.0A2 
201434.798+0.0002-642548.07-0.036 7.0A2 
232902.227+0.0001+160044.96-0.004 7.0A2 
070540.212-0.0010+524526.65-0.064 7.0A2 
235421.389+0.0015-270231.83+0.025 7.0A2 
092842.157-0.0001-101615.27+0.013 7.0A2 
220633.945+0.0004+122642.57+0.014 7.0A2 
180852.460+0.0000+021433.89-0.018 7.0A2 
070935.628-0.0016-151435.86-0.005 7.0A2 
151358.908+0.0022+475808.86-0.011 7.0A3 
193329.812-0.0026+360118.22-0.019 7.0A3 
073523.910-0.0013+283738.84+0.001 7.0A3 
075030.512-0.0027-033552.42-0.009 7.0A3 
081806.548-0.0030+262528.82-0.015 7.0A3 
083103.741-0.0020+400319.65-0.020 7.0A3 
085346.072+0.0014+134950.17+0.002 7.0A3 
093928.694-0.0110+724451.47+0.058 7.0A3 
161258.102+0.0034+124801.91+0.019 7.0A3 
020252.410+0.0050-022240.33-0.033 7.0A3 
181916.280+0.0010+154933.63-0.001 7.0A3 
191410.078+0.0006+074551.91+0.010 7.0A3 
202444.645+0.0012-084611.78-0.020 7.0A3 
212753.606+0.0004+352432.60+0.000 7.0A3 
213119.020+0.0065+034905.79-0.014 7.0A3 
214138.448+0.0014+213607.22-0.040 7.0A3 
221618.840+0.0002+621855.50-0.036 7.0A3 
031709.016+0.0034+064759.74-0.027 7.0A3 
054136.591-0.0004+603721.65-0.040 7.0A3 
131001.271-0.0032+384325.31-0.004 7.0A3 
222641.690+0.0028-111341.33-0.011 7.0A3 
063836.511+0.0020+612840.61-0.016 7.0A3 
124408.850+0.0017+354608.24+0.028 7.0A3 
013451.567+0.0006+123331.44-0.011 7.0A3 
173600.701-0.0009-380608.40-0.054 7.0A3 
153309.499-0.0020-242925.01-0.023 7.0A3 
072447.273-0.0017-371726.66+0.044 7.0A3 
084842.721-0.0048-391403.62+0.029 7.0A3 
102906.864-0.0039-485622.34-0.027 7.0A3 
103527.412-0.0041-372141.11+0.007 7.0A3 
032512.885+0.0038-370911.96-0.028 7.0A3 
093731.363+0.0005-595322.14+0.031 7.0A3 
120907.224-0.0215-784653.51-0.016 7.0A3 
123017.959-0.0074-725908.75-0.024 7.0A3 
155235.573-0.0025-673822.99-0.017 7.0A3 
174549.337-0.0023-641931.35-0.021 7.0A3 
182304.444-0.0017-604456.35-0.012 7.0A3 
