#full_name,epoch_mjd,q,a,e,i,w,om,ma,tp_cal,orbit_id,H,G,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class
"  2804 Yrjo (1941 HF)",55600,2.8018502,3.0170692,0.0713338,11.19964,172.95647,109.48809,52.93546,20100502.5375159,MPO176628,11.70,,N,,,22.84,,0.0708,,5.2406614039699,,MBA
"  2808 Belgrano (1976 HS)",55600,2.7658367,3.0062482,0.0799706,8.95312,111.85912,314.70642,6.77930,20110103.1476181,MPO47592,11.0,,N,,,,,,,5.212492425462,,MBA
"  2811 Stremchovi (1980 JA)",55600,2.7557168,2.8641876,0.0378714,1.03276,111.21007,332.34277,245.90383,20120822.1373795,MPO47592,11.9,,N,,,,,,,4.8474173136208,,MBA
"  2813 Zappala (1981 WZ)",55600,2.6696697,3.1391880,0.1495668,14.73619,247.83598,231.87741,35.21732,20100724.2632314,MPO159602,11.00,,N,,,32.57,,0.0663,,5.5620411389459,,MBA
"  2816 Pien (1982 SO)",55600,2.2115792,2.7261347,0.1887491,7.71780,263.28013,93.97878,110.05797,20090923.3815957,MPO65989,11.70,,N,,,21.91,,0.0769,,4.5012088610541,,MBA
"  2826 Ahti (1939 UJ)",55600,3.0772977,3.2231659,0.0452562,15.46243,151.75984,33.70387,312.65851,20111112.9469048,MPO169563,10.80,,N,,,36.71,,0.0628,24.,5.7867163605749,,OMB
"  2829 Bobhope (1948 PK)",55600,2.4937967,3.0854851,0.1917651,14.32980,339.73012,324.12417,195.78634,20130730.0054824,MPO139102,10.30,,N,,,38.25,,0.0916,6.0888,5.4199263170431,,MBA
"  2836 Sobolev (1978 YQ)",55600,2.7107608,2.9995689,0.0962832,9.68223,319.78353,348.20371,184.34752,20130821.8453906,MPO47592,11.4,,N,,,,,,,5.1951304717317,,MBA
"  2837 Griboedov (1971 TJ2)",55600,2.7243832,2.9051089,0.0622096,2.88690,358.53964,61.95180,297.06285,20111221.1889121,MPO155864,11.9,,N,,,,,,,4.9516716637919,,MBA
"  2846 Ylppo (1942 CJ)",55600,2.9951136,3.2221349,0.0704568,11.42719,75.48430,144.69057,260.42839,20120914.3149905,MPO50330,10.70,,N,,,28.15,,0.1170,,5.7839399444216,,OMB
"  2848 ASP (1959 VF)",55600,2.5662184,3.1976536,0.1974683,0.91548,51.72130,338.89936,22.34166,20101001.3840362,MPO47592,11.1,,N,,,,,,,5.7181472035592,,MBA
"  2850 Mozhaiskij (1978 TM7)",55600,2.3290367,2.4498284,0.0493062,7.84747,345.35834,106.17752,98.63791,20100120.2545102,MPO192291,11.9,,N,,,,,,,3.8345261054073,,MBA
"  2856 Roser (1933 GB)",55600,2.9981134,3.0257048,0.0091190,9.91178,232.32994,16.90430,213.03243,20130402.7969234,MPO47592,11.00,,N,,,23.99,,0.1223,13.73,5.2631779570157,,MBA
"  2865 Laurel (1935 OK)",55600,2.3758380,2.5599123,0.0719065,14.30240,293.93569,321.82088,213.50937,20121008.7562282,MPO169563,11.40,,N,,,14.73,,0.2242,21.5,4.0958670094456,,MBA
"  2866 Hardy (1961 TA)",55600,2.3156026,2.9100165,0.2042648,8.21921,26.30311,317.19364,345.30526,20110423.0118065,MPO150774,11.9,,N,,,,,,,4.9642240561259,,MBA
"  2878 Panacea (1980 RX)",55600,2.8007419,3.0470396,0.0808318,10.23674,17.71032,318.25364,264.63888,20120706.6173407,MPO121260,11.7,,N,,,,,,,5.3189431589322,,MBA
"  2879 Shimizu (1932 CB1)",55600,2.3730492,2.7691320,0.1430350,10.71090,25.67062,149.31103,40.08676,20100804.5815405,MPO97223,11.70,,N,,,28.24,,0.0463,18.72,4.6081189812457,,MBA
"  2882 Tedesco (1981 OG)",55600,2.5422639,3.1527212,0.1936287,0.28981,7.46594,314.53416,79.83831,20091111.5435425,MPO131712,11.9,,N,,,,,,,5.5980468889802,,MBA
"  2884 Reddish (1981 ES22)",55600,2.5518272,3.1065347,0.1785615,1.94914,14.39087,41.34382,262.89359,20120731.4586271,MPO171885,11.8,,N,,,,,,,5.4754840758385,,MBA
"  2889 Brno (1981 WT1)",55600,2.6833748,3.0241881,0.1126958,9.49471,122.09774,220.62553,254.20577,20120825.5093266,MPO47592,11.5,,N,,,,,,,5.2592209377139,,MBA
