 2366 CAM 07 28 54.8 +69 12 56 8 Irr  11.5   7.80   2.6  25     21102  3851        
 2367 CMA 07 20 04.5 -21 53 03 3 IV3p  7.9   3.50                             
 2368 MON 07 21 06.2 -10 22 18 3 IV2p 11.8   5.00                             
 2369 CAR 07 16 37.7 -62 20 40 8 SBa  13.2   3.20   0.9 177     20556                   
 2370 GEM 07 25 01.5 +23 46 59 8 SBc  14.4   0.80   0.5  43     20955  3835             
 2371 GEM 07 25 33.9 +29 29 16 6 PN   13.0   0.92                                       
 2372 GEM 07 25 35.5 +29 29 36 6 PN   13.0   0.92                                       
 2373 GEM 07 26 36.9 +33 49 25 8 Sbc  14.8   0.60   0.5         21016  3848             
 2374 CMA 07 23 56.0 -13 15 48 3 II3p  8.0  19.00                             
 2375 GEM 07 27 09.4 +33 49 55 8 SBb  14.6   1.30   1.0 170     21035  3854             
 2376 GEM 07 26 35.9 +23 04 22 8 Sbc  14.8   0.50   0.5         21015                   
 2377 MON 07 24 56.7 -09 39 40 8 Sc   13.5   1.70   1.3 170     20948         
 2378 GEM 07 27 23.9 +33 49 53 0 *2                                                     
 2379 GEM 07 27 26.2 +33 48 41 8 S0   14.5   0.80   0.8         21036  3857             
 2380 CMA 07 23 54.5 -27 31 45 8 SB0  12.3   2.10   2.0         20916                   
 2381 CAR 07 19 57.4 -63 04 03 8 SBR  13.4   1.60   1.4         20694                   
 2382 CMA 07 23 54.5 -27 31 45 8 SB0  12.3   2.10   2.0         20916                   
